                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8599,                 8.2203,                 1.1809,                0.00954,                0.11324,                0.02177,                0.01184,                  1.741,                 8.0109,                 1.1042,             4.9144e-05,             4.9144e-05,             4.9144e-05
                      2,                 1.8524,                 7.3338,                 1.1118,                0.83227,                0.06067,                0.04727,                0.02431,                 1.7426,                 6.7471,                 1.1073,             6.6203e-05,             6.6203e-05,             6.6203e-05
                      3,                 1.8014,                 6.3242,                 1.0951,                0.71366,                0.06577,                0.05162,                0.02633,                  1.701,                 6.1453,                 1.0854,             5.0482e-05,             5.0482e-05,             5.0482e-05
